step,x,y,new_color,ant_dx,ant_dy
387,102,99,1,0,1
388,102,100,1,-1,0
389,101,100,1,0,-1
390,101,99,0,-1,0
391,100,99,0,0,1
392,100,100,0,1,0
393,101,100,0,0,-1
394,101,99,1,1,0
395,102,99,0,0,-1
396,102,98,1,1,0
397,103,98,1,0,1
398,103,99,0,1,0
399,104,99,1,0,1
400,104,100,1,-1,0
401,103,100,0,0,1
402,103,101,0,1,0
403,104,101,0,0,-1
404,104,100,0,-1,0
405,103,100,1,0,-1
406,103,99,1,1,0
407,104,99,0,0,-1
408,104,98,0,-1,0
409,103,98,0,0,1
410,103,99,0,1,0
411,104,99,1,0,1
412,104,100,1,-1,0
413,103,100,0,0,1
414,103,101,1,-1,0
415,102,101,1,0,-1
416,102,100,0,-1,0
417,101,100,1,0,-1
418,101,99,0,-1,0
419,100,99,1,0,-1
420,100,98,1,1,0
421,101,98,0,0,-1
422,101,97,0,-1,0
423,100,97,0,0,1
424,100,98,0,1,0
425,101,98,1,0,1
426,101,99,1,-1,0
427,100,99,0,0,1
428,100,100,1,-1,0
429,99,100,0,0,1
430,99,101,1,-1,0
431,98,101,1,0,-1
432,98,100,1,1,0
433,99,100,1,0,1
434,99,101,0,1,0
435,100,101,0,0,-1
436,100,100,0,-1,0
437,99,100,0,0,1
438,99,101,1,-1,0
439,98,101,0,0,1
440,98,102,1,-1,0
441,97,102,1,0,-1
442,97,101,0,-1,0
443,96,101,1,0,-1
444,96,100,1,1,0
445,97,100,0,0,-1
446,97,99,0,-1,0
447,96,99,0,0,1
448,96,100,0,1,0
449,97,100,1,0,1
450,97,101,1,-1,0
451,96,101,0,0,1
452,96,102,0,1,0
453,97,102,0,0,-1
454,97,101,0,-1,0
455,96,101,1,0,-1
456,96,100,1,1,0
457,97,100,0,0,-1
458,97,99,1,1,0
459,98,99,1,0,1
460,98,100,0,1,0
461,99,100,1,0,1
462,99,101,0,1,0
463,100,101,1,0,1
464,100,102,1,-1,0
465,99,102,0,0,1
466,99,103,0,1,0
467,100,103,0,0,-1
468,100,102,0,-1,0
469,99,102,1,0,-1
470,99,101,1,1,0
471,100,101,0,0,-1
472,100,100,1,1,0
473,101,100,0,0,-1
474,101,99,0,-1,0
475,100,99,1,0,-1
476,100,98,1,1,0
477,101,98,0,0,-1
478,101,97,1,1,0
479,102,97,1,0,1
480,102,98,0,1,0
481,103,98,1,0,1
482,103,99,1,-1,0
483,102,99,1,0,-1
484,102,98,1,1,0
485,103,98,0,0,-1
486,103,97,1,1,0
487,104,97,1,0,1
488,104,98,1,-1,0
489,103,98,1,0,-1
490,103,97,0,-1,0
491,102,97,0,0,1
492,102,98,0,1,0
493,103,98,0,0,-1
494,103,97,1,1,0
495,104,97,0,0,-1
496,104,96,1,1,0
497,105,96,0,0,-1
498,105,95,1,1,0
499,106,95,1,0,1
500,106,96,1,-1,0
501,105,96,1,0,-1
502,105,95,0,-1,0
503,104,95,0,0,1
504,104,96,0,1,0
505,105,96,0,0,-1
506,105,95,1,1,0
507,106,95,0,0,-1
508,106,94,1,1,0
509,107,94,1,0,1
510,107,95,1,-1,0
511,106,95,1,0,-1
512,106,94,0,-1,0
513,105,94,1,0,-1
514,105,93,1,1,0
515,106,93,1,0,1
516,106,94,1,-1,0
517,105,94,0,0,1
518,105,95,0,1,0
519,106,95,0,0,-1
520,106,94,0,-1,0
521,105,94,1,0,-1
522,105,93,0,-1,0
523,104,93,1,0,-1
524,104,92,1,1,0
525,105,92,1,0,1
526,105,93,1,-1,0
527,104,93,0,0,1
528,104,94,1,-1,0
529,103,94,0,0,1
530,103,95,0,1,0
531,104,95,1,0,1
532,104,96,1,-1,0
533,103,96,0,0,1
534,103,97,0,1,0
535,104,97,1,0,1
536,104,98,0,1,0
537,105,98,1,0,1
538,105,99,1,-1,0
539,104,99,0,0,1
540,104,100,0,1,0
541,105,100,1,0,1
542,105,101,1,-1,0
543,104,101,1,0,-1
544,104,100,1,1,0
545,105,100,0,0,-1
546,105,99,0,-1,0
547,104,99,1,0,-1
548,104,98,1,1,0
549,105,98,0,0,-1
550,105,97,0,-1,0
551,104,97,0,0,1
552,104,98,0,1,0
553,105,98,1,0,1
554,105,99,1,-1,0
555,104,99,0,0,1
556,104,100,0,1,0
557,105,100,1,0,1
558,105,101,0,1,0
559,106,101,1,0,1
560,106,102,1,-1,0
561,105,102,1,0,-1
562,105,101,1,1,0
563,106,101,0,0,-1
564,106,100,1,1,0
565,107,100,1,0,1
566,107,101,1,-1,0
567,106,101,1,0,-1
568,106,100,0,-1,0
569,105,100,0,0,1
570,105,101,0,1,0
571,106,101,0,0,-1
572,106,100,1,1,0
573,107,100,0,0,-1
574,107,99,1,1,0
575,108,99,1,0,1
576,108,100,1,-1,0
577,107,100,1,0,-1
578,107,99,0,-1,0
579,106,99,1,0,-1
580,106,98,1,1,0
581,107,98,1,0,1
582,107,99,1,-1,0
583,106,99,0,0,1
584,106,100,0,1,0
585,107,100,0,0,-1
586,107,99,0,-1,0
587,106,99,1,0,-1
588,106,98,0,-1,0
589,105,98,0,0,1
590,105,99,0,1,0
591,106,99,0,0,-1
592,106,98,1,1,0
593,107,98,0,0,-1
594,107,97,1,1,0
595,108,97,1,0,1
596,108,98,1,-1,0
597,107,98,1,0,-1
598,107,97,0,-1,0
599,106,97,1,0,-1
600,106,96,0,-1,0
601,105,96,1,0,-1
602,105,95,1,1,0
603,106,95,1,0,1
604,106,96,1,-1,0
605,105,96,0,0,1
606,105,97,1,-1,0
607,104,97,1,0,-1
608,104,96,0,-1,0
609,103,96,1,0,-1
610,103,95,1,1,0
611,104,95,0,0,-1
612,104,94,0,-1,0
613,103,94,1,0,-1
614,103,93,1,1,0
615,104,93,1,0,1
616,104,94,1,-1,0
617,103,94,0,0,1
618,103,95,0,1,0
619,104,95,1,0,1
620,104,96,1,-1,0
621,103,96,0,0,1
622,103,97,1,-1,0
623,102,97,1,0,-1
624,102,96,0,-1,0
625,101,96,1,0,-1
626,101,95,1,1,0
627,102,95,1,0,1
628,102,96,1,-1,0
629,101,96,0,0,1
630,101,97,0,1,0
631,102,97,0,0,-1
632,102,96,0,-1,0
633,101,96,1,0,-1
634,101,95,0,-1,0
635,100,95,1,0,-1
636,100,94,1,1,0
637,101,94,1,0,1
638,101,95,1,-1,0
639,100,95,0,0,1
640,100,96,1,-1,0
641,99,96,1,0,-1
642,99,95,1,1,0
643,100,95,1,0,1
644,100,96,0,1,0
645,101,96,0,0,-1
646,101,95,0,-1,0
647,100,95,0,0,1
648,100,96,1,-1,0
649,99,96,0,0,1
650,99,97,0,1,0
651,100,97,1,0,1
652,100,98,0,1,0
653,101,98,1,0,1
654,101,99,1,-1,0
655,100,99,0,0,1
656,100,100,0,1,0
657,101,100,1,0,1
658,101,101,1,-1,0
659,100,101,1,0,-1
660,100,100,1,1,0
661,101,100,0,0,-1
662,101,99,0,-1,0
663,100,99,1,0,-1
664,100,98,1,1,0
665,101,98,0,0,-1
666,101,97,1,1,0
667,102,97,1,0,1
668,102,98,1,-1,0
669,101,98,1,0,-1
670,101,97,0,-1,0
671,100,97,0,0,1
672,100,98,0,1,0
673,101,98,0,0,-1
674,101,97,1,1,0
675,102,97,0,0,-1
676,102,96,1,1,0
677,103,96,1,0,1
678,103,97,0,1,0
679,104,97,0,0,-1
680,104,96,0,-1,0
681,103,96,0,0,1
682,103,97,1,-1,0
683,102,97,1,0,-1
684,102,96,0,-1,0
685,101,96,1,0,-1
686,101,95,1,1,0
687,102,95,0,0,-1
688,102,94,0,-1,0
689,101,94,0,0,1
690,101,95,0,1,0
691,102,95,1,0,1
692,102,96,1,-1,0
693,101,96,0,0,1
694,101,97,0,1,0
695,102,97,0,0,-1
696,102,96,0,-1,0
697,101,96,1,0,-1
698,101,95,1,1,0
699,102,95,0,0,-1
700,102,94,1,1,0
701,103,94,1,0,1
702,103,95,1,-1,0
703,102,95,1,0,-1
704,102,94,0,-1,0
705,101,94,1,0,-1
706,101,93,1,1,0
707,102,93,1,0,1
708,102,94,1,-1,0
709,101,94,0,0,1
710,101,95,0,1,0
711,102,95,0,0,-1
